,news_title,news_details,date
927,"Amazon roundup: Goldman price target increase, new AWS client, holiday sales","
Goldman Sachs reiterates its Buy rating on Amazon (NASDAQ:AMZN) and raises the price target from $1,300 to $1,450.Analyst Heath Terry cites the re:Invent conference that runs through this week and comes with an increasing number of product announcements each year.Terry attributes the company’s competitive moat to rapid innovation, developer penetration, and AWS “product breadth.”New cloud client: Amazon Web Services signs Time Warner’s Turner unit as a customer.Financial terms not disclosed but Turner will migrate “decades of content” and much of its computing operations to Amazon’s cloud platform.The new customer can help Amazon keep its top spot in the cloud computing market. AWS held a 32% share in Q3, according to Canalys data. Microsoft’s Azure took a 14% share, and Google Cloud had a 6% share.Holiday sales: Amazon provides some vague metrics for its device sales between Black Friday and Cyber Monday.The Echo Dot and Amazon Fire TV Stick with Alexa were the best-selling products from any manufacturer across all categories on the site.Fire TV Sticks sold 2.7x as many units as last year’s holiday weekend.Amazon has a lot riding on the holiday quarter this year as last year’s report failed to meet revenue estimates.Previously: Amazon Web Services announces VMware Cloud expansion (Nov. 28)Previously: Textron: Amazon is a potential customer (Nov. 28) ",2017-11-28
928,Amazon Web Services announces VMware Cloud expansion,"
        Amazon Web Services (NASDAQ:AMZN) announces an expansion of VMware Cloud on AWS.             VMware Cloud availability will now include the AWS U.S. East (N. Virginia) region.  Regions are AWS geographic areas, which are further broken down into isolated locations called Availability Zones.            VMware was previously available in the US West (Oregon) region.             ""The momentum for VMware Cloud on AWS is growing rapidly, and VMware and AWS are delivering major new capabilities after only three months of availability while enhancing our strategic relationship with new integrations across our platforms. Customers of VMware Cloud on AWS will be able to migrate application portfolios to the cloud even more rapidly with Hybrid Cloud Extension and AWS Direct Connect, while maintaining the optimal levels of performance, scale, and availability required for mission-critical apps,” says Mark Lohmeyer, VP and GM of VMware’s Cloud Platform Business Unit.  VMware shares are up 0.4% premarket.    ",2017-11-28
929,Intuit selects AWS for machine learning and AI platform,"
        Intuit (NASDAQ:INTU) selects Amazon Web Services (NASDAQ:AMZN) as its machine learning and AI platform.               Intuit will integrate the AWS Lex technology into QuickBooks Assistant and other products.                   The Lex service builds conversational interfaces into any app using voice and text.                   Intuit shares are up 0.5%.          Amazon shares are up 1%.  Previously: Amazon announces VR developer tools, video provider services (Nov. 27) ",2017-11-27
930,Blowout Cyber Monday numbers expected,"
 There could be some blowout numbers in store for Cyber Monday in the U.S. First Data president Guy Chiarello tells Bloomberg TV that e-commerce traffic was up over 30% Y/Y for the first couple of hours of the shopping event. The strong showing follows the record $5.03B brought in during Black Friday by retailers. Amazon (NASDAQ:AMZN) is up 1.05% in premarket trading, while Wal-Mart (NYSE:WMT) and Target (NYSE:TGT) are also both tracking higher. The blazing e-commerce growth isn't wrecking the mall sector, with American Eagle Outfitters (NYSE:AEO), J.C. Penney (NYSE:JCP), Kohl's (NYSE:KSS) and Urban Outfitters all showing gains of 1% to 2%. Shopify (NYSE:SHOP) is up 3% in early action. Two retail names to watch today are Best Buy (NYSE:BBY) and GameStop (NYSE:GME) as the first reports on consumer interest in electronics start to pour in.Sources: Adobe, BloombergETFs: XLY, XRT, VCR, IBUY, RTH, RETL, FDIS, IYK, IYC, FXD, SCC, UCC, RCD, UGE, PMR, SZK, FTXD, CLIX, CNDF, EMTY, JHMC  ",2017-11-27
931,"Amazon announces VR developer tools, video provider services","
        Amazon Web Services (NASDAQ:AMZN) announces the Amazon Sumerian service for developing VR, AR, and 3D apps. Previews start today.               Developers can use Sumerian to build apps for mobile devices, head-mounted displays, and web browsers.                AWS also announces five Elemental Media Services, a suite of services for video providers.                Elemental Media Services simplifies crating reliable, flexible, and scalable videos in the cloud.                The launch of new AWS services helps keep Amazon at the front of the cloud services market where only Microsoft comes close to its market share.  Previously: Cerner +4.9% on word of large Amazon cloud deal coming (Nov. 22) ",2017-11-27
932,Wal-Mart closing in on Amazon?,"
Seeking to regain its ""low price leader"" title, Wal-Mart (NYSE:WMT) is now within striking distance of matching Amazon (NASDAQ:AMZN) for the first time.Prices at Walmart.com are now only 0.3% more expensive than Amazon.com on average, according to a study by Market Track, which analyzed prices of 213 products in 11 categories over a period of 700 days ending Nov. 7. ",2017-11-27
933,Promising start to holiday sales season,"
U.S. retailers raked in a record $7.9B in online sales on Black Friday and Thanksgiving, up 17.9% from a year ago, according to Adobe Analytics.Cyber Monday is expected to drive $6.6B in internet sales, which would make it the largest U.S. online shopping day in history.Another big winner? With Amazon (NASDAQ:AMZN) shares hitting a record high on Black Friday, Jeff Bezos's net worth surpassed $100B.ETFs: XLP, XLY, VDC, XRT, VCR, RTH, PBJ, RETL, PEJ, IYK, FXG, IYC, SCC, FXD, RHS, UCC, PMR, UGE, RCD, PSL, PSCC, SZK, FDIS, FSTA, PSCD, PEZ ",2017-11-26
934,Amazon faces major strike in Italy,"
Threatening to disrupt one busiest shopping days of the year, employees at Amazon’s (NASDAQ:AMZN) main distribution hub in Italy are planning their first ever strike for today and are also walking out at six warehouses in Germany.Besides the Black Friday disruption, workers have decided not to do any overtime until Dec. 31, covering the peak holiday season, citing a dispute over  pay, bonuses and conditions. ",2017-11-24
935,eBay comments on Amazon Australia launch,"
As Amazon (NASDAQ:AMZN) launches its Australian operations today, eBay (NASDAQ:EBAY) Australia and New Zealand managing director Tim MacKinnon said competition was great ""as long as the competition is fair.""""Where you get players that try to use the data they get and then decide to go and retail those items themselves, that's where it becomes a little unfair. We will be watching that carefully.""eBay opened for business in Australia in 1999. ",2017-11-23
936,Adobe Analytics: Online holiday shopping could reach $107B,"
        Holiday shoppers could generate $107B in online sales this season, up 14% on the year, according to Adobe Analytics.               Adobe expects Cyber Monday to hit a historic $6.6B in sales.                Related: Amazon (AMZN +1.5%), eBay (EBAY +0.2%), and the SPDR S&P Retail index (XRT +0.5%).   ",2017-11-22
937,Cerner +4.9% on word of large Amazon cloud deal coming,"
 Shares in Cerner (NASDAQ:CERN) have spiked 4.9% after a CNBC report says Amazon.com (AMZN +0.8%) is set to announce a huge cloud deal with the healthcare tech provider. Amazon Web Services and Cerner will announce a deep team-up at AWS re:Invent next week, to be announced by AWS CEO Andy Jassy, according to the report. The two will work together on helping providers use data to make health predictions about patient populations.The deal's said to focus first on Cerner's ""population health"" product HealtheIntent.  ",2017-11-22
938,Amazon aims for success Down Under,"
After setting up a distribution warehouse in Melbourne city, Amazon (NASDAQ:AMZN) has told its Australian sellers to be ready to take orders on Nov. 23.It's the first time the retail juggernaut has given a start date for doing business in the world's No. 12 economy.Going live at this time would also help Amazon tap into Black Friday demand. ",2017-11-22
939,Amazon announces AWS IoT price cuts,"
Amazon (NASDAQ:AMZN) introduces a new AWS IoT pricing model that will reduce the cost by 20% to 40% for most customers.The company will also change its payment model from charging for the number of messages sent in or out of the services.Customers will now pay independent charges for each used component. Components include Connectivity, Messaging, Rules Engine, and Device Shadow & Registry Updates.See the blog post for full pricing information.Customers will now pay independent charges for each used component. Components include Connectivity, Messaging, Rules Engine, and Device Shadow & Registry Updates.AMZN shares closed today +1.17%. ",2017-11-21
940,YouTube comes back to the Amazon Echo Show,"
        YouTube (GOOG, GOOGL) returns to the Amazon (NASDAQ:AMZN) Echo Show.               Google pulled YouTube shortly after the Show’s launch because the included version didn’t comply with the company’s terms of use.                   Amazon put the device on sale, hinting at YouTube’s importance.                      The new version looks more like YouTube’s standard app.  Previously: YouTube goes dark on Echo Show (Sept. 27)Previously: Amazon roundup: U.S. tax bill, Echo Show on sale, NBA Skills coming soon (Oct. 9) ",2017-11-21
941,Cowen analyst says Amazon should buy Rite Aid,"
        A Cowen analyst says Amazon (NASDAQ:AMZN) should acquire Rite Aid (NYSE:RAD) for faster access to the legal side of the pharmacy business.               Analyst John Blackledge says the Rite Aid buy would bring along pharmacy licenses and infrastructure that could benefit the company if moving to open pharmacies in Whole Foods or to offer medication through the Prime services.                Blackledge says the firm’s research shows that 67% of Amazon Prime members would buy prescription drugs through the platform.                Blackledge estimates Amazon’s U.S. retail pharmacy business could generate $20B in 2019 with the Rite Aid deal.  Amazon shares are up 1.02%.Rite Aid shares are up 3.53%. ",2017-11-21
942,Amazon launches AWS region for intelligence community,"
        Amazon (NASDAQ:AMZN) launches AWS Secret Region, a cloud data center region for U.S. intelligence services.                  Government agencies outside the intelligence community can use the region if the agency has high enough clearance.                      Amazon launched GovCloud for public sector customers six years ago.                   The CIA signed a $600M AWS contract in 2013.  Previously: Nomura Instinet raises Amazon price target on margin potential (Nov. 20) ",2017-11-20
943,Nomura Instinet raises Amazon price target on margin potential,"
        Nomura Instinet reiterates a Buy rating for Amazon (NASDAQ:AMZN) but increases its price target from $1,100 to $1,360.               Analyst Simeon Siegel cites Amazon’s “deepening” moat and expanding profit margins. Siegel forecasts margins of 45% to 46% by 2022 compared to the 35% estimated for this year.                Key quote from analyst note: “We took a deep dive into Amazon's margin structure, & backing into segment GMs, we believe that mix shift alone could drive 1000+bps of LT GM lift, powering a $160bn investment into deepening Amazon's moat.""                 Amazon shares are down 0.3%.    Previously: GBH Insights raises Amazon price target ahead of ""blowout"" holiday quarter (Nov. 20) ",2017-11-20
944,"GBH Insights raises Amazon price target ahead of ""blowout"" holiday quarter","
        GBH Insights analyst Daniel Ives says Amazon (NASDAQ:AMZN) will have a “blowout” holiday quarter with Prime members spending 20% to 25% more this season.               Ives cites the higher number of Prime members this year and the Whole Foods acquisition as driving Amazon to beat top-line revenue estimates by 3% to 5%. Consensus estimates have revenue at $59.7B for the quarter.                Ives raises Amazon’s price target from $1,185 to $1,270.                   Amazon’s holiday quarter last year achieved high profits but missed revenue estimates.                   Amazon shares are up 0.19% premarket.  Previously: Amazon is going after truck drivers (Nov. 17) ",2017-11-20
945,Amazon is going after truck drivers,"
Amazon (NASDAQ:AMZN) has quietly launched an app designed to help truck drivers get in and out of warehouses faster, permitting them to check in with a QR code instead of badging in through security.""Relay"" will give the tech giant direct access to millions of truck drivers nationwide as Amazon reportedly works on another app that would match the drivers with cargo. ",2017-11-17
946,"AmazonFresh, Allrecipes.com launch Blue Apron competitor","
           AmazonFresh (NASDAQ:AMZN) and Allrecipes.com announce a new partnership for a meal prep delivery service to take on Blue Apron (NYSE:APRN).  Users of the popular recipe portal can log into the account, select AmazonFresh as the grocer, and then have the option to send the ingredients for a certain recipe to the AmazonFresh shopping bag.  The option will only exist for the top recipes on Allrecipes.com and is only open to customers in regions where AmazonFresh operates, which does make for a more limited market than Blue Apron.  Previously: Recode reports Amazon blames USPS for Fresh failures; Amazon Go soon public? (Nov. 15)Previously: Amazon SVP will oversee Whole Foods, Prime Now, and physical stores (Nov. 9) ",2017-11-16
947,Recode reports Amazon blames USPS for Fresh failures; Amazon Go soon public?,"
 Recode reports that Amazon (NASDAQ:AMZN) privately blamed the United States Postal Service for the tech giant’s need to shut down part of its Amazon Fresh grocery delivery service.               Sources say Amazon claimed the USPS provided unreliable deliveries. The lack of an alternative delivery method led Amazon to close Fresh off to parts of nine states.                USPS rates posed another problem for the Fresh deliveries.                In other news, Bloomberg reports that the company’s Amazon Go stores are closer to going public.                The cashier-free stores rely on a smartphone app and sensors to power the shopping experience.                Amazon Go experienced technical problems early on but the recent shift to ""construction managers and marketers"" hints the stores will soon exit the testing stage. Amazon shares are down nearly 1%.  Previously: SunTrust analyst says Amazon will have record-breaking holiday sales (Nov. 15) ",2017-11-15
948,SunTrust analyst says Amazon will have record-breaking holiday sales,"
        A SunTrust Robinson Humphrey analyst says the upcoming holiday season will prove ""record-breaking"" for Amazon (NASDAQ:AMZN).                  ""Given a record breaking Prime Day in 2Q, continued momentum in 3Q, and the fact that this is just the second holiday season offering monthly Prime memberships, we expect a record-breaking holiday season for the company,"" writes analyst Youssef Squali.                      In last year’s holiday quarter, Amazon’s profits were up 55%, but revenue fell short of analyst estimates.  Amazon shares are down 0.88%.Previously: Amazon launches Alexa, Echo devices, and Prime Music in Canada (Nov. 15) ",2017-11-15
949,"Amazon launches Alexa, Echo devices, and Prime Music in Canada","
        Amazon (NASDAQ:AMZN) launches Alexa, Echo devices, and Prime Music in Canada.               Pre-orders start today with shipping beginning December 5. Echo devices available online or through retailers including Best Buy, TELUS, and The Source.  Previously: Amazon cancels 'skinny bundles' for Channels; Sports Illustrated TV coming soon (Nov. 15) ",2017-11-15
950,Food stocks jolted by more Whole Foods price cuts,"
 A new round of price cuts at Whole Foods (NASDAQ:AMZN) is creating another ripple in the food sector. The grocery store chain is reported by CNBC to have dropped prices on holiday food items, including organic turkeys.There is also an increase in Whole Foods discounts for Prime members for the sector to consider. Decliners premarket: Campbell Soup (NYSE:CPB) -5.04%, Kellogg (NYSE:K) -1.84%, J.M. Smucker (NYSE:SJM) -7.3%, ConAgra (NYSE:CAG) -7.3%, Kroger (NYSE:KR) -2.27%.Related ETF: PBJ.  ",2017-11-15
951,Amazon cancels 'skinny bundles' for Channels; Sports Illustrated TV coming soon,"
        Amazon (NASDAQ:AMZN) scraps plans for streaming “skinny bundles” offering an a la carte approach to television subscriptions.                  Reuters sources say Amazon’s talks with major broadcast and basic cable networks fell through as the networks were reluctant to join up with the Amazon Channels project.                      Amazon decided the low margins involved didn’t merit negotiations with the networks.                   Channels includes over 140 TV and digital networks including HBO and Showtime. While a few of the cable network subscriptions are available straight through Prime, Channels makes the bundles available through the Amazon Video app.                In better Channels news, Time announces plans to bring Sports Illustrated TV to the streaming service for $4.99 a month. Amazon shares are down 0.56% premarket.   ",2017-11-15
952,Amazon previews Black Friday deals including $100 Fire HD 10,"
        Amazon (NASDAQ:AMZN) offers a sneak peek of its Black Friday deals that will run from November 17 through November 24.                  Select Amazon device deals: Echo Dot, $29.99 ($20 off); Echo new model, $79.99 ($20 off); Echo Plus, $119.99 ($30 off); Amazon Tap, $79.99 ($50 off); Amazon Cloud Cam, $99.99 ($20 off); Fire 7 Kids Edition, $69.99 ($30 off); Fire HD 10, $99.99 ($50 off).                   See the press release for all of the tech deals rolling out on Amazon’s app and website.                Amazon shares are up 0.23%.  Previously: Amazon sheds light on pharmacy licenses (Nov. 14) ",2017-11-14
953,Amazon sheds light on pharmacy licenses,"
Amazon (NASDAQ:AMZN) has told regulators it will not be using the pharmacy licenses it obtained from Tennessee and Indiana to sell prescriptions, but will instead use them to sell medical devices and supplies.That could mean a more immediate threat to medical distribution companies, like McKesson (NYSE:MCK) and Cardinal Health (NYSE:CAH), rather than to pharmacies and pharmacy benefits managers.That said, most industry experts aren't ruling out the possibility of Amazon entering the prescription drug market.Update: In early trading: (ABC -0.5%)(MCK -1.7%)(CAH -2.4%)(OMI -2.2%) ",2017-11-14
954,Amazon selling Chinese cloud business,"
Beijing Sinnet Technology is buying physical infrastructure assets of Amazon's (NASDAQ:AMZN) cloud business in China for up to 2B yuan ($301M), but the latter will still own intellectual property and isn't exiting the world's second-largest economy.A regulatory filing said the purchase, which is still pending, would help Amazon ""comply with Chinese law that forbids non-Chinese companies from owning or operating certain technology for the provision of cloud services."" ",2017-11-14
955,Amazon announces original series based on 'The Lord of the Rings',"
        Amazon (NASDAQ:AMZN) announces multi-season global television rights to J.R.R. Tolkien’s The Lord of the Rings.                  The adaptation will “explore new storylines” taking place before The Fellowship of the Ring.                      Amazon Studios, the Tolkien Estate and Trust, publisher HarperCollins, and Warner Bros’ division New Line Cinema will produce the Amazon Prime Original.                      The deal includes the option for an additional spin-off series.    Amazon shares are up 1.19%.  Previously: The Information: Amazon Web Services planning AI push (Nov. 13) ",2017-11-13
956,The Information: Amazon Web Services planning AI push,"
 The Information reports that Amazon Web Services (NASDAQ:AMZN) plans an AI push with the “Ironman” project.               The code-named project offers an AI-focused upgrade to AWS’ “data warehouse” service that collects data from various points in the company then stores all the data in one spot.                   AWS also wants to make it easier for clients to use the open-source deep learning framework TensorFlow, which Google created. TensorFlow helps with image recognition, speech recognition, and other processes driving the AI industry.                   AWS brought in $4.58B in the most recent quarter and stands far ahead of the competition in market share. Amazon shares are up 1.19%.  Previously: Morgan Stanley analyst outlines $1T Amazon bull case (Nov. 13) ",2017-11-13
957,Morgan Stanley analyst outlines $1T Amazon bull case,"
        Morgan Stanley reiterates its Overweight rating for Amazon (NASDAQ:AMZN) and presents a $2K per share bull case that would give the e-commerce giant a $1T market cap.               Analyst Brian Nowak cites the company’s high margins and the forward performance of five segments: first-party ((1P)), third-party ((3P)), AWS, Subscription, and Advertising/Other as the tailwinds for the bull case.                Nowak’s math is based on estimating sales growth for each of the key segments up to 2022. His estimates put the core 1P business at $600B and AWS at $270B.                Amazon shares are up 0.38% to $1,129.60.   ",2017-11-13
958,Reuters: Amazon job ads suggest European insurance expansion,"
           Job listings lead to speculation that Amazon (NASDAQ:AMZN) will soon make a stronger insurance push into Europe, according to Reuters.  The tech giant launched warranty extension service Amazon Protect in Europe last year. Protect is Amazon’s only global insurance business.   Job ads appearing on LinkedIn and other online job portals say the company seeks workers for “a palette of new services” in the EU product insurance arm.  Amazon has made no public comment on the matter so far.   Previously: Could Macy's be Amazon's next target? (Nov. 10) ",2017-11-10
959,Could Macy's be Amazon's next target?,"
The struggling retailer zoomed higher yesterday after earnings weren't as bad as feared, and is up another 2.4% this morning.Barron's last week suggested Amazon (NASDAQ:AMZN) could buy Kohl's if it wants to get into brick and mortar department stores. If that's the case, says Dealreporter, Amazon ought to focus on ""quality over quantity,"" and have a look at Macy's (NYSE:M).Previously: Macy's beats by $0.04, misses on revenue (Nov. 9) ",2017-11-10
960,"Amazon SVP will oversee Whole Foods, Prime Now, and physical stores","
        Amazon (NASDAQ:AMZN) SVP Steve Kessel will head the Whole Foods unit as the parent company works to consolidate its online and physical business.                  According to The Wall Street Journal, Kessel will oversee Whole Foods, fast-delivery unit Prime Now, grocery delivery unit AmazonFresh, and Amazon’s physical stores.                    Kessel was the force behind the Amazon Books bookstores and the Amazon Go convenience stores. Amazon shares are down 0.48%.  Previously: Amazon announces Manchester City FC series for Prime Video (Nov. 9) ",2017-11-9
961,Amazon announces Manchester City FC series for Prime Video,"
        Amazon (NASDAQ:AMZN) announces a new Prime Video multi-part series that will follow Manchester City FC through their 2017/2018 season.               Manchester City currently leads the English Premier League.                   The series will premiere next year on the Prime Video platform.     Previously: Kroger bypasses Amazon for cloud investing (Nov. 8) ",2017-11-9
962,Kroger bypasses Amazon for cloud investing,"
 Kroger (KR +2.2%) is investing millions of dollars with Microsoft (MSFT) and Google (GOOG, GOOGL) in order to avoid helping major rival Amazon (AMZN +0.7%), reports CNBC. CIO Chris Hjelm says the grocery store operator is using Azure for digital shelf technology and Google Cloud for cloud data initiatives. ""We feel like we're not losing anything from a competitive perspective working with those companies,"" notes Hjelm. Kroger still has some digital operations running through Amazon AWS for businesses that it acquired.Amazon's purchase of Whole Foods Market rattled the entire retail sector earlier this year.  ",2017-11-8
963,Amazon has range of options to invade pharmacy business - Bloomberg,"
Online 8,000-lb. gorilla Amazon (AMZN +0.1%) can make life miserable for prescription drug sellers in a variety of ways according to Bloomberg.At the top of list is leveraging its massive logistics operation to launch a mail-based drug delivery business. Prime membership, where customers pay an annual fee of $99 for unlimited qualified shipments, would be yet another way for Amazon to build customer loyalty among retail prescription drug buyers. Prime Now, with its two-hour delivery, already includes convenience items found in drug stores. It would also be in position to improve the consumer experience using Alexa to shop for medicines online or on mobile devices.Use its buying power to offer customers inexpensive generics, like Walmart, but with the added convenience of online ordering. It could make deals with insurers who do not have a large presence in mail drug delivery such as Humana (HUM +0.3%), Cigna (CI -0.3%) and even UnitedHealth Group (UNH -0.1%).Leverage the physical presence of Whole Foods to set up pharmacies or pick-up points in addition to mail delivery. It could also partner with local independent pharmacies by allowing patients to order medicines online for pick-up at the stores.Buy a drug distributor or pharmacy benefit manager like Express Scripts (ESRX -0.6%) which already operates a large mail-order business. A downside, though, would be the potential exclusion from competitors.Launch a startup. Amazon already owns wholesale distribution licenses in at least 13 states and could build a pharmacy operation from scratch which would enable it to restructure the drug supply chain.Related tickers: (ABC +0.1%)(WBA +3.1%)(CVS +3.3%)(CAH -0.3%)(MCK +1%)(AET -0.4%) ",2017-11-7
964,Amazon launches Fire TV Stick Basic Edition to over 100 countries and territories,"
        Amazon (NASDAQ:AMZN) announces the Fire TV Stick Basic Edition for sale in Canada and over 100 more countries and territories.               The Basic Edition has a quad-core processor, 1 GB of memory, 8 GB of storage, and 802.11ac Wi-Fi. Supports High Efficiency Video Codec for 1080p HD streaming and includes Dolby Audio (NYSE:DLB).                The product push expands on last year’s global launch of Amazon Prime Video and helps the company get its low-cost devices in more hands.                   Customers can buy the Fire TV Stick Basic Edition starting today for $49.99. Shipping starts tomorrow.        Amazon shares are up 0.11%. Dolby Labs shares are down 0.56%.  Previously: Rosetta Stone launches Amazon Alexa Skill (Nov. 7) ",2017-11-7
965,Amazon discounting third-party products in hopes of a stronger holiday season,"
        Amazon (NASDAQ:AMZN) has cut prices on products sold by third parties in a bid to better compete in the holiday shopping season.               The sellers will still get full price for the products.                The “discount provided by Amazon” includes popular holiday product categories including board games, toys, and gadgets.                  In last year’s holiday quarter, Amazon achieved a 55% profit increase largely due its cloud platform but sales weren’t as strong as analysts expected.                Amazon shares are up 0.59%.     ",2017-11-6
966,Amazon to undercut Australian business,"
Competition laws will permit Amazon (NASDAQ:AMZN) to undercut local businesses with loss-making prices when it opens for business in Australia, which is expected to happen later this month.""If you open a store in a new town and you set a common price point, you are going to lose money initially if you don’t have scale,"" said ACCC Chairman Rod Sims. ""Eventually, if you get your business plan right, you will make that price point, that is in no way illegal."" ",2017-11-4
967,Amazon Fresh ending in some areas,"
Even as Amazon (NASDAQ:AMZN) takes a big jump into groceries with the $13.7B acquisition of Whole Foods, it's scaling down other parts of its grocery business.The company has emailed customers in at least five states, including New Jersey, Pennsylvania, Delaware, Maryland and California, to inform them that Amazon Fresh will be closing for certain zip codes later this month. ",2017-11-3
968,Amazon's cryptocurrency domain names,"
Amazon (NASDAQ:AMZN) has registered three new domain names related to cryptocurrency, sparking speculation that the e-commerce giant may accept it as payments or even move into the space.They include: amazonethereum.com, amazoncryptocurrency.com and amazoncryptocurrencies.com.Amazon already signed up for the domain ""amazonbitcoin.com"" three years ago and the address takes you straight to Amazon.com. ",2017-11-2
969,IPG prevails in review of $1B-plus Amazon media account,"
 Interpublic Group (IPG +1.4%) has beaten out Publicis Groupe (PUBGY -1.2%) to win $1B-plus of global media planning and buying business from Amazon.com (AMZN -0.6%), which is consolidating those duties with IPG Mediabrands, Adweek says. Amazon launched a review of that business this summer. IPG's Initiative beat WPP's Mindshare to win the company's global business in 2013. It's unclear whether agencies from WPP (WPPGY -0.9%) were involved in the review, Adweek notes, but Omnicom (OMC +0.6%) couldn't participate due to existing contracts with Amazon competitor Google.  ",2017-11-1
970,Amazon Studios moving to The Culver Studios; AT&T partners with AWS,"
        Amazon (NASDAQ:AMZN) officially announces that Amazon Studios will move to The Culver Studios in Culver City, California.               Amazon Studios, IMDb, Amazon Video, and World Wide Advertising will make the move to the legendary movie studios and occupy over 280K RSF.                In other Amazon news, AT&T (NYSE:T) announces expanding its business cloud solutions with Amazon Web Services.                   ""Many of our customers are on their journey to the cloud with AWS. We can offer customers a highly secure, cloud optimized networking environment. No matter where they are in that transition or how they want to get there, AT&T has it covered,"" says Roman Pacwicz, chief product officer for AT&T Business.    Amazon shares are up 0.88%.  Previously: Whole Foods holding hiring day with 6,000-hire goal (Oct. 27)Previously: Microsoft and Chevron announce Azure partnership (Oct. 30) ",2017-10-30
971,"Whole Foods holding hiring day with 6,000-hire goal","
 Whole Foods Market (AMZN +13.2%) will look to add 6,000 employees at a National Hiring Day Nov. 2. A post on the company's site details the initiative. It's taking place at all U.S. stores, and will feature full-time and part-time positions, both seasonal and permanent. ""Candidates can visit any Whole Foods Market store on November 2 and receive an interview, with opportunities for on-the-spot job offers,"" the company says.Previously: Analysts raise Amazon price targets after earnings (Oct. 27 2017)Previously: Amazon soars after earnings smasher (Oct. 26 2017)  ",2017-10-27
972,Analysts raise Amazon price targets after earnings,"
        Morgan Stanley raises its Amazon (NASDAQ:AMZN) price target by $100 to $1,250 with an Overweight rating following yesterday’s Q3 report.               Analyst Brian Nowak cites acceleration in the high margin retail subscription and other/advertising businesses along with Amazon “deepening its competitive moat” through investments.                Jefferies analyst Brent Thill increases his price target by $100 to $1,350 with a Buy rating.                Thill cites the strong Prime membership growth in the quarter and thinks Q4 operating income guidance was “conservative as usual.”                   Source: Bloomberg First Word                    Amazon shares are up 8.29% premarket.    Previously: Amazon beats by $0.49, beats on revenue (Oct. 26)Previously: Amazon soars after earnings smasher (Oct. 26) ",2017-10-27
973,"Amazon the real impetus behind CVS-Aetna deal talks, reports say","
 The threat of Amazon (NASDAQ:AMZN) is the real reason behind CVS Health's (NYSE:CVS) reported $66B offer for Aetna (NYSE:AET), as the prospect of AMZN's entry into the healthcare industry begins to roil drugstore chains, drug distributors and  pharmacy benefit managers. An acquisition of a major insurer was among a dozen or so strategies CVS’s management team recently presented to directors, WSJ reports. The day's turmoil began earlier when the St. Louis Post-Dispatch reported that AMZN had obtained wholesale pharmacy licenses in at least a dozen states, which sent the likes of McKesson (NYSE:MCK), AmerisourceBergen (NYSE:ABC) and Cardinal Health (NYSE:CAH) sharply lower. Drug industry execs say AMZN could use its online reach and logistical strength to threaten companies that ship and sell medicines to consumers and cut pricing deals with drug makers. AET still closed more than 10% below the reported ~$200/share offer price, a sign that investors have some doubts that the CVS deal will close successfully, but ""given the state of affairs in the drug business, the real risk for CVS shareholders might be standing pat,"" writes Heard On The Street's Charley Grant.  ",2017-10-26
974,Amazon soars after earnings smasher,"
 Amazon (NASDAQ:AMZN) trades back over a thousand bucks a share after a huge beat on its bottom line.The company reported 35% sales growth in North America for the quarter and 29% sales growth internationally.AWS sales rose 42% Y/Y to $4.58B.Operating income fell 40%  from last year to $347M vs. $178M expected. Whole Foods contributed $21M to the OI tally.Operating cash flow was up 14% Y/Y to $17.1B.Looking ahead, Amazon expects Q4 revenue of $56.0B to $60.5B vs. $58.75B consensus and Q4 operating income between $300M and $1.65B.AMZN +6.85% to $1,039.00 AH.  ",2017-10-26
975,"Amazon beats by $0.49, beats on revenue","
Amazon (NASDAQ:AMZN): Q3 EPS of $0.52 beats by $0.49.Revenue of $43.74B (+33.7% Y/Y) beats by $1.6B.Shares +2.63%.Press Release ",2017-10-26
976,Goldman Sachs expects weak Q4 forecast from Amazon; Alexa gets subscriptions,"
           Goldman Sachs expects Amazon (NASDAQ:AMZN) will disappoint with its forecast when it reports Q3 earnings on Thursday but maintains a Buy rating and $1,275 price target.  Analyst Heath Terry expects Amazon to forecast revenue growth of 26% to 34% on the year with up to $1B in GAAP operating profits compared to the $1.5B sell-side consensus estimate.  But Terry believes investors underestimate “the potential for organic growth reacceleration as the ~70% growth in infrastructure spend (CapEx and Capital Leases) over the TTM begins to deliver returns and AWS comps ease.""  In other news, Amazon will now allow for premium subscriptions to Alexa Skills, which opens up a way for developers to monetize after the company shut down the voice assistant’s ad network.  The first live Skill to get the premium option was Jeopardy!, which now offers Double Jeopardy questions and the ability to play missed days from the same week.  Prime members can have access to the Double Jeopardy clues for free but non-members will need to pay $1.99 per month for a subscription to the Skill.  The six clues per weekday offered before will remain free.    Amazon shares are down 0.59%.   Previously: Amazon launches Alexa security camera, Key for in-home deliveries (Oct. 25) ",2017-10-25
