,news_title,news_details,date
57,Halliburton CEO sees North America revenue growth beating rig count rise,"
 Halliburton (HAL -2.6%) remains lower following Q4 results that disappointed investors who believe the company did not benefit from the rebound in U.S. drilling activity as much as expected. HAL's Q4 North American revenue rose 9% Q/Q and but fell 16% from a year earlier, while rigs drilling for oil in the U.S. jumped nearly 20% in Q4 and have climbed another 5% YTD. In today's earnings conference call, CEO Dave Lesar said HAL's North American revenue growth lagged the increase in rig count because the company elected to forgo unprofitable contracts, but that the growth this year would meet or beat the increase in the number of drilling rigs.The CEO also said oilfield service prices would increase by more than 10% this year, a higher rate than most E&P companies expect; after crude prices rally, companies will demand equipment and crews at a certain location and at a specific time, resulting in shortages, Lesar predicts.""Animal spirits have broken free and they are running,"" according to Lesar.  ""Customers are excited again and our conversations have changed from  being only about cost control to how we can meet their incremental  demand.""It's a down day for oil services stocks across the board: SLB -2.5%, BHI -0.9%, NOV -1.6%, NBR -3.2%, HP -1.5%, PTEN -4.2%, FTI -1.9%, HLX -3.8%, OII -2.4%, PDS -1.9%.  ",2017-01-23
58,WisdomTree MidCap Dividend ETF (DON) December Summary,"
December monthly performance was: +1.5%AUM of $2.44B52-week performance vs. the S&P 500 is: +7%$0.33 in dividends were paid in DecemberTop 10 Holdings as of 11/30/2016: ONEOK Inc (OKE): 3.0879%, Mattel Inc (MAT): 1.37485%, CenterPoint Energy Inc (CNP): 1.34938%, Coach Inc (COH): 0.99394%, Macquarie Infrastructure Corp (MIC): 0.98509%, Microchip Technology Inc (MCHP): 0.98384%, Helmerich & Payne Inc (HP): 0.96654%, Kohl's Corp (KSS): 0.90219%, Frontier Communications Corp Class B (FTR): 0.86794%, SCANA Corp (SCG): 0.84691% ",2017-01-4
59,"Transocean, other offshore drillers downgraded at RBC as prospects still weak","
 Offshore drillers likely will remain weak through 2017, RBC analysts say, as fundamentals in the group remain challenged and relatively better prospects are available via North American land-focused names. RBC believes the market needs to see sustained oil prices above $50/bbl to stimulate shallow, infill and development drilling in the Gulf of Mexico and North Sea and greater than $60 for deepwater exploration; drillers say they are starting to receive more inbound rig inquiries from customers regarding rig type, pricing and availability, but they are typically for assets available in 2018.RBC downgrades several stocks, led by Transocean (RIG +1.1%), which the firm says has limited upside until the market gains more confidence in the  supply/demand outlook for floating rigs; fundamentals continue to weaken for floating rigs, and it remains  unclear where dayrates and utilization may bottom.In addition to RIG, the firm also cuts Noble Corp. (NE +3.7%), Atwood Oceanics (ATW -0.6%), Diamond Offshore (DO +0.5%), Rowan (RDC +0.6%) and Oceaneering to Underperform; Helmerich &��Payne (HP -2.1%) and TETRA��Tech (TTI -1%) are lowered to Sector Perform.  ",2016-12-16
60,"Core Labs, H&P, National Oilwell, Patterson-UTI, RPC lowered at Guggenheim","
 Oilfield services stocks Core Laboratories (CLB +0.8%), Helmerich & Payne (HP -1.5%), National Oilwell Varco (NOV +1.4%), Patterson-UTI Energy (PTEN -0.4%) and RPC (RES -1.1%) are downgraded to Neutral from Buy at Guggenheim, which believes investors will be more valuation sensitive following the recent run in oil stocks. The firm says all five stocks have less than 5% upside to its most recent 12-month price targets based on 2018 EV/EBITDA multiples - and its 2018 EBITDA estimates average below 50% of the 2014 peak - it sees little room for upside to EBITDA or multiples over the next several quarters. Guggenheim says the downgrades are more tactical than structural, reflecting upper limits of valuation ranges and not an incrementally adverse change in industry or company fundamentals. The firm's Buy-rated favorites include Nabors Industries (NBR -2.2%), which it calls its ���Best Idea.""  ",2016-12-6
61,WisdomTree MidCap Dividend ETF (DON) November Summary,"
November monthly performance was: +5.57%AUM of $2.3B52-week performance vs. the S&P 500 is: +8%$0.19 in dividends were paid in NovemberTop 10 Holdings as of 10/31/2016: ONEOK Inc (OKE): 2.86519%, Mattel Inc (MAT): 1.44508%, CenterPoint Energy Inc (CNP): 1.35701%, Macquarie Infrastructure Corp (MIC): 1.03507%, Coach Inc (COH): 1.03167%, Frontier Communications Corp Class B (FTR): 1.00602%, Microchip Technology Inc (MCHP): 0.94734%, SCANA Corp (SCG): 0.92707%, CMS Energy Corp (CMS): 0.9082%, Helmerich & Payne Inc (HP): 0.84858% ",2016-12-1
62,Helmerich & Payne downgraded after yesterday's melt-up,"
Seaport Global rings the register on Helmerich & Payne (NYSE:HP) as yesterday's��12% jump��brought the stock within shouting distance of the $77 price target (closed at $75.65).HP is��higher by 41%��YTD.Shares are��up 0.45%��premarket, with oil��up another 1.8%��to $50.32 per barrel.Previously: National-Oilwell downgraded after blasting through price target (Dec. 1) ",2016-12-1
63,"Helmerich & Payne misses by $0.26, beats on revenue","
Helmerich & Payne (NYSE:HP): FQ4 EPS of -$0.68 misses by $0.26.Revenue of $332M (-41.4% Y/Y) beats by $29.8M.Press Release ",2016-11-17
64,WisdomTree MidCap Dividend ETF (DON) October Summary,"
October monthly performance was: -2.36%AUM of $2.11B52-week performance vs. the S&P 500 is: +4%$0.17 in dividends were paid in OctoberTop 10 Holdings as of 9/30/2016: ONEOK Inc (OKE): 2.9392%, Mattel Inc (MAT): 1.34299%, CenterPoint Energy Inc (CNP): 1.33823%, Macquarie Infrastructure Corp (MIC): 1.02004%, Coach Inc (COH): 1.01792%, Frontier Communications Corp Class B (FTR): 1.00738%, Microchip Technology Inc (MCHP): 0.94194%, SCANA Corp (SCG): 0.88622%, CMS Energy Corp (CMS): 0.87714%, Helmerich & Payne Inc (HP): 0.87589% ",2016-11-3
65,Helmerich & Payne downgraded at Argus on low-priced spot contracts,"
 Helmerich & Payne (HP +0.9%) is downgraded to Hold from Buy at Argus, which says HP is increasingly relying on lower priced spot contracts rather than higher priced term contracts. Argus believes the spot contracts, together with lower rig utilization for the rest of the year, will result in a 50% drop in overall revenue for the current year and slipping another 9% in the following year. On the positive side, the firm notes that HP offers an above-average dividend yield of ~4.9% and should continue to benefit from its fleet of advanced FlexRigs. ",2016-09-15
66,"Helmerich & Payne upgraded at Morgan Stanley as ""easy"" land drilling play","
 Helmerich & Payne (HP +2.6%) is upgraded to Equal Weight from Underweight with an $80 price target, raised from $70, at Morgan Stanley, which says the stock offers a defensive play within the U.S. land drilling sector without taking meaningful balance sheet risk. ""Data points from our conference suggest relative tightness in pockets of the high-spec rig market - notably Texas and Oklahoma - where HP has outsized share,"" Stanley analyst Ole Slorer writes, with ""no reason to believe that HP will not share in these respective gains given its premium reputation and current ~25% share of working rigs in these regions."" The firm believes HP's activity data and earnings momentum are ""meaningfully better"" than the sector at large and sees near-term outperformance in the shares.  ",2016-09-6
67,Helmerich & Payne reiterated Buy at Argus as better positioned than peers,"
 Helmerich &��Payne (HP +2.2%) is better positioned that its oil and gas drilling peers in a challenging environment, Argus says as it maintains a Buy rating and $72 price target on the company. The firm cites HP's industry-low debt, which offers the flexibility to add debt without straining its balance sheet, and the company���s above-peer-average dividend yield of 4.5%. Argus notes that HP's Q2 operating loss primarily was due to lower drilling revenue, driven by reduced capital spending as well as lower drill margins in the offshore segment and lower utilization rates. ",2016-08-15
68,WisdomTree MidCap Dividend ETF (DON) July Summary,"
July monthly performance was: +2.99%AUM of $1.99B52-week performance vs. the S&P 500 is: +7%$0.24 in dividends were paid in JulyTop 10 Holdings as of 6/30/2016: ONEOK Inc (OKE): 2.68634%, Mattel Inc (MAT): 1.37579%, CenterPoint Energy Inc (CNP): 1.3705%, Frontier Communications Corp Class B (FTR): 1.18302%, Coach Inc (COH): 1.12088%, CMS Energy Corp (CMS): 0.94653%, SCANA Corp (SCG): 0.91588%, Macquarie Infrastructure Corp (MIC): 0.89711%, Helmerich & Payne Inc (HP): 0.8648%, Digital Realty Trust Inc (DLR): 0.85433% ",2016-08-2
69,Helmerich & Payne EPS of -$0.83,"
Helmerich & Payne (NYSE:HP): FQ3 EPS of -$0.83 may not be comparable to consensus of -$0.41.Revenue of $366.49M (-44.6% Y/Y) beats by $67.78M.Press Release ",2016-07-28
70,Bet on these 'laggards' in Q3 - Fundstrat,"
Thomas Lee from Fundstrat Market &��Equity Research (""our research process combines both top-down strategy and bottoms-up fundamental views, to develop a roadmap of practical and useful investment insights for our clients"") identifies 15 stocks that meet his criteria for his current ���highest conviction��� strategies, which he calls ���laggards become leaders��� and ���stocks are the new bonds.���The following stocks are in 1 of 16 groups that have lagged in the bull market (laggards), and have dividend yield greater than the their long-term bond yield (stocks are the new bonds): APD, CAT, CSCO, CVX, HP, IBM, OXY, PCAR, PG, PX, RL, SLB, T, VZ, XOM. ",2016-07-15
71,Forum Energy Tech downgraded to Underweight at J.P. Morgan,"
 Forum Energy Technologies (FET +3.6%) is downgraded to Underweight from Neutral with a $10 price target at J.P. Morgan, which says expectations ""have run too hard too fast"" with other North American beta plays, and ""a re-rating could lead to underperformance [in H2 2016] relative to equipment peers."" FET shares have risen significantly since February on better expectations for normalized activity in the next cycle, but the firm sees the possibility for a retreat as expectations reset in H2 if oil prices struggle to move higher and rig counts remain volatile. JPM's other North American onshore Underweight-rated stocks that could underperform in a retrench in expectations include Helmerich &��Payne (HP +4.2%) and Patterson-UTI��Energy (PTEN +2.6%).  ",2016-07-12
72,"Helmerich & Payne upgraded at KeyBanc as ""best positioned"" land driller","
 Helmerich & Payne (HP +2.2%) is higher after KeyBanc upgrades shares to Overweight from Sector Weight with an $80 price target, calling HP ""the best positioned land drilling contractor"" in an environment poised for a rebound in U.S. land rig activity, also boasting ""the strongest��balance sheet in the industry."" The firm notes that HP owns about half of the 1,500 horsepower AC-Drive land rigs that are currently idle, and these rigs will ""likely be the rigs of choice as the market recovers."" KeyBanc says HP should supply about half of incremental demand for horizontal drilling services within the next few years, which will further solidify its market leadership.  ",2016-06-21
73,"Land drillers ""all look overvalued,"" Credit Suisse says","
 Land-based oil drillers ""all look overvalued,"" Credit Suisse analysts say as they downgrade Helmerich & Payne (HP -2.1%), Patterson-UTI Energy (PTEN -2%) and Precision Drilling (PDS -4.6%) to Underperform from Neutral, and Nabors Industries (NBR -3.8%) to Neutral from Outperform, predicting current spot rates likely will fall when incremental rigs go to work. Among the group, the firm sees HP as ""the worst offender"" on valuation, with overly optimistic assumptions for $35K spot market dayrates and forgiveness of deferred tax liabilities still not enough to justify the current price based on its rig count, while NBR is ""the relative winner due to its international exposure."" The firm prefers Baker Hughes (BHI +0.1%) and Halliburton (HAL -0.1%) in the sector due to their North American exposure and expectations of execution, while Schlumberger (SLB -0.6%) ""has valuation headwinds and issues with exploration, deepwater and international exposure, but longer-term exposure to the stock is essential.""
Now read Moody's:��Drillers will be the last to recover in the oil patch (May 16)  ",2016-06-1
74,Moody's: Drillers will be the last to recover in the oil patch,"

Drilling companies will be the last to recover among the oil and gas industry when the recovery eventually arrives, Moody's says.
North American land-based drillers will be stressed through the end of next year as contracts, signed when demand for their services was higher, expire and as prices for their services remain depressed, according to the report.
The ratings agency predicts that Parker Drilling (NYSE:PKD-OLD) and Pioneer Energy Services (NYSE:PES) could breach one of their existing financial covenants by the middle of next year.
Moody's thinks the best-positioned companies through the ongoing rout are Helmerich and Payne (NYSE:HP) and Precision Drilling (NYSE:PDS), which have ""the most high-quality rigs, which will be the first to re-enter the market when industry conditions improve sometime after 2017.""
 ",2016-05-16
75,UBS remains bullish on Helmerich & Payne after Q1 earnings,"
 Helmerich &��Payne (HP -2.2%) is maintained with a Buy rating and a higher target price of $72, raised from $63, at UBS following mixed FQ2 results. UBS says that while some temporary stacking and personnel costs likely will go away by Q4, it appears HP's underlying profitability is tracking below expectations, and with declining EBITDA, the company likely is consuming a small amount of cash to pay the dividend later this year.
However, the firm says a strong contract backlog and nearly $900M of cash and equivalents leave HP well positioned to sustain the dividend beyond 2017 if desired.
UBS is only one of a mixed bag of analyst notes on HP today, as Scotia Howard Weil downgrades shares to Sector Perform and Goldman Sachs cuts its price target to $58  from $60, while Cowen, Susquehanna and Stephens join UBS in raising their price targets.
Now read Helmerich &��Payne:��All you need to know about Q2
  ",2016-05-3
76,Helmerich & Payne EPS of -$0.24,"

Helmerich & Payne (NYSE:HP): FQ2 EPS of -$0.24 may not be comparable to consensus of -$0.18.
Revenue of $438.19M (-50.5% Y/Y) beats by $39.93M.
 ",2016-05-2
77,"Superior Energy, Helmerich & Payne, Patterson downgraded at J.P. Morgan","
 Investor hopes of further gains in oil prices are unrealistic, and expectations for U.S. onshore drilling stocks are sporting inflated multiples, J.P. Morgan analysts say as they reduce ratings where expectations may have jumped too far too fast. The firm downgrades Helmerich &��Payne (HP -2.6%) and Patterson-UTI (PTEN -3.6%) to Underweight from Neutral with respective $39 and $13 price targets, saying that while both have strong management teams and solid execution should continue, it is ""skeptical of the macro environment required to deliver on the current elevated multiples embedded in each stock."" Superior Energy (SPN -1.2%) is downgraded to Neutral from Overweight with a $13 price target, with JPM saying SPN has faced several challenges in recent quarters and likely will have a difficult H1, although cost adjustments should provide some support to the company in H2.
Now read Anadarko, Antero upgraded; Southwestern, EP��Energy cut at J.P. Morgan

 ",2016-04-15
78,"Morgan Stanley upgrades Superior Energy; lowers Helmerich & Payne, RPC","
 Offshore oilfield service companies with pristine balance sheets have significantly outperformed onshore service peers, but Morgan Stanley's Ole Slorer finds better value for now in companies with similar business exposures with slightly higher but manageable risks. He upgrades Superior Energy Services (SPN +6.8%) to Overweight from Equal Weight with a $15 price target, upped from $13.50, and maintains Nabors Industries (NBR +6.8%) at Overweight with a $13 price target, acknowledging higher risk in the two companies but believing they have substantial liquidity and potential for cash flow neutrality even if the current downcycle persists longer than expected. However, Slorer downgrades RPC��Inc. (RES -2.9%) to Equal Weight from Overweight and Helmerich & Payne (HP +1.1%) to Underweight, noting that both companies are high quality operators with nearly debt-free balance sheets but whose stocks had significantly outperformed the sector YTD to a point where valuations look less attractive.  ",2016-03-17
79,Five more energy names downgraded at Moody's,"
 Moody's downgrades five more oil and gas names, all with negative outlooks, but shares are unaffected amid a strong showing today in the energy sector: Helmerich & Payne (HP +5%) to Baa1, citing significantly decreasing  cash flow resulting from the collapse in U.S. onshore drilling activity. Nabors Industries (NBR +0.6%) to Ba2, expecting high business and financial risks in a persistently weak global rig market,  causing material degradation in credit metrics through 2017. Parker Drilling (PKD-OLD +0.1%) to B3, reflecting the challenging outlook for land drilling  and rentals tools businesses in North America. Pioneer Energy Services (PES +16.5%) to Caa3, driven by the material deterioration in credit metrics through 2015 and expectations of continued  deterioration through 2016. Precision Drilling (PDS +11.9%) to B2, reflecting lower cash flow and weak leverage resulting from the collapse in drilling activity.  ",2016-03-4
80,Short interest in energy sector hits highest in more than a decade,"
Short interest as a percentage of float for the energy sector surpassed 12% at the end of January to its highest level in more than a decade, according to research from Bespoke.Six of the eight most heavily shorted stocks among the S&P 500 resided in the energy sector, all with percentage of float levels exceeding 20%: Chesapeake Energy (NYSE:CHK), Transocean (NYSE:RIG), Southwestern Energy (NYSE:SWN) Diamond Offshore (NYSE:DO), Consol Energy (NYSE:CNX) and Helmerich &��Payne (NYSE:HP).GameStop (NYSE:GME) was the most heavily shorted stock in the S&P 500, Bespoke says. ",2016-02-11
81,Helmerich & Payne EPS of $0.15,"

Helmerich & Payne (NYSE:HP): FQ1 EPS of $0.15 may not be comparable to consensus of -$0.07.
Revenue of $487.85M (-54.0% Y/Y) beats by $29.2M.
 ",2016-01-28
82,Piper Jaffray calls a top on Heartland Payment Systems,"
 Heartland Payment Systems (NYSE:HP) is downgraded by Piper Jaffray to a Neutral rating after the investment firm had it slotted at Overweight. Piper lowers its price target on Heartland to $90 from $100. HPY closed at $95.34 yesterday after rising 51% over the last 90 days.  ",2015-12-31
83,Energy stocks sell off as oil falls below $37/barrel,"

WTI crude is down 3.2% to $36.90/barrel, and Brent crude down 2.5% to $36.95/barrel, leaving prices close to 11-year lows. Energy industry firms are among the biggest decliners on a day the S&P is down 0.6%.
Fears about excess supply appear to be weighing once more. OPEC figures point to a global oil supply glut of more than 2M barrels (over 2% of global demand); a smaller glut is expected next year. Meanwhile, Japanese government data indicates the country's oil product sales fell to a 46-year low in November, and European data suggests the continent's oil product demand growth turned negative in October.
The biggest casualties include Whiting Petroleum (WLL -9.9%), Oasis Petroleum (OAS -8.2%), Vanguard Natural Resources (VNR -12.5%), Denbury Resources (DNR -8%), SandRidge Energy (SD -8.1%), SandRidge Permian Trust (PER -10.9%), SandRidge Mississippian Trust (SDT -7.5%), U.S. Silica (SLCA -6.2%), Marathon Oil (MRO -6.7%), C&J Energy Services (CJES -8.1%), MV Oil Trust (MVO -9.2%), Bonanza Creek (BCEI -6.4%), Parker Drilling (PKD-OLD -7.9%), and Continental Resources (CLR -5.9%).
Other notable decliners include Kinder Morgan (KMI -5%), Williams Partners (WPZ -4.4%), EOG Resources (EOG -3.4%), Cheniere Energy (CQP -3.6%), SeaDrill (SDRL -3.5%), Encana (ECA -2.8%), Devon Energy (DVN -2.7%), Ensco (ESV -3.8%), Hercules Offshore (HERO -4.7%), Atwood Oceanics (ATW -4.9%), Helmerich & Payne (HP -3.8%), and Pioneer Natural (PXD -2.6%).
ETFs: XLE, VDE, ERX, OIH, XOP, ERY, DIG, DUG, BGR, IYE, IEO, FENY, PXE, FIF, PXJ, NDP, RYE, FXN, DDG, DRIP, GUSH

 ",2015-12-28
84,"Buy onshore oil services stocks ahead of rally, Citi analyst says","
 Investors should buy oil services stocks with exposure to onshore oil production on weakness going forward, Citi analyst Scott Gruber says in ""a deliberately early call."" Onshore oil businesses are set to recover because OPEC does not appear able to meet global demand after 2016, Gruber says, adding that the rally in the companies likely will be ""powerful"" when it arrives. Gruber continues to name Halliburton (HAL -1.7%) and Baker Hughes (BHI -4.7%) as his top picks, but he also believes small and mid-cap names in the sector will rally; he upgrades C&J Energy (CJES -4.8%), Nabors Industries (NBR -3.2%), Patterson-UTI (PTEN -2.2%), Superior Energy (SPN -3.8%) and Weatherford (WFT -6.2%) to Buy from Hold, and raises Helmerich & Payne (HP -2%) and National Oilwell Varco (NOV -1.4%) to Neutral from Sell.  ",2015-12-11
85,"Time to buy oil services stocks as crude moves to $100, Guggenheim says","
 The ""lower for longer"" consensus on crude oil prices is overly conservative, and prices will begin bouncing back next year, Guggenheim analysts say as they upgrade the oil services sector to Buy and see plenty of upside for the major players given current market conditions. Guggenheim is calling for oil prices to return to $100/bbl by 2018, and sees 10% upside across the board for oil services stocks in the next year resulting from the group's unique exposure to crude prices. Within the group, the firm prefers Rowan (RDC +1.8%) and Atwood Oceanics (ATW +1.6%), as their backlogs should help reduce near-term risk, RDC has no newbuild commitments and ATW is finalizing a contract in Brazil for one of its two uncontracted rigs, utilization in the Middle East (NYSE:RDC) and Australia (NYSE:ATW) should be resilient on a relative basis, and both have fleets that make them more interesting M&A candidates. Upgraded to Buy from Neutral: CAM, RIG, NE, OII, PACD, DO, ESV, CLB, OIS, HP, NBR, CRR, NOV, DRQ, FI, PTEN, SSE, FTI, CJES, FET, SPN.  ",2015-11-30
86,"Helmerich & Payne misses by $0.01, beats on revenue","

Helmerich & Payne (NYSE:HP): FQ4 EPS of $0.04 misses by $0.01.
Revenue of $566.01M (-42.5% Y/Y) beats by $44.19M.
 ",2015-11-12
87,"Land drillers H&P, Nabors, Patterson-UTI win Buy ratings at UBS","
 UBS oil services analyst Angie Sedita cautions that 2016 will remain difficult in the industry, especially for offshore drillers, but she awards Buy ratings to three leading land drillers, noting that pricing weakness will remain a struggle but that land drillers typically lead the sector off the bottom. The firm says Helmerich &��Payne (NYSE:HP), Nabors Industries (NYSE:NBR) and Patterson-UTI��Energy (NASDAQ:PTEN) have the potential to bring patient investors solid returns in 2016 and beyond. None of the offshore drillers gain Buy ratings from Sedita and her team.  ",2015-11-11
88,"Helmerich & Payne downgraded at BMO, citing lower EPS estimates","
 Helmerich & Payne (HP -3.2%) is downgraded to Underperform from Market Perform with a $48 price target, lowered from $55, at BMO Capital, citing lower estimates and downside risk. Similar to offshore drillers, HP's 2016 earnings are benefiting from contracts signed at the peak of the market, BMO says, estimating that 61% of HP's rigs are contracted at rates 33%-50% above the  current spot market in 2016, which would be a material headwind for  three years.
The firm also sees a risk of a dividend reduction at HP due to slightly negative cash flow over the next few quarters.  ",2015-09-2
89,Helmerich & Payne upgraded at Global Hunter,"
 Helmerich & Payne (HP -0.8%) is upgraded to Accumulate from Neutral with a $65 price target at Global Hunter, which suggests ""judiciously"" building a position as the stock is trading at two-and-a-half-year lows. Land drillers tend to be early beneficiaries of cyclical recoveries, and Hunter continues to believe a U.S. onshore recovery is intact, beginning in 2016; however, the firm's views are tempered as consensus estimates suggest earnings risk on term-to-spot mix shift headwinds and an industry challenged by increased E&P rig efficiency and an 1,00-plus+ idle rig overhang.  ",2015-08-3
90,Helmerich & Payne EPS of $0.83,"

Helmerich & Payne (NYSE:HP): FQ3 EPS of $0.83 may not be comparable to consensus of $0.17.
Revenue of $660M (-30.7% Y/Y) beats by $59.11M.
 ",2015-07-30
91,Offshore drillers under heavy pressure,"
 Offshore drillers are significantly underperforming the broader market following cautious commentary from Schlumberger (SLB -0.1%) despite its Q2 earnings beat, a contract termination and an analyst downgrade. On its earnings call this morning,��SLB said it expects little improvement in pricing levels in the near future and declines in activity for offshore drillers, while land rigs provide a more attractive opportunity and better margins. For its Q3, SLB foresees a further 5%-6% decline in Q/Q revenue as well as lower EPS, and says the $0.77 consensus is a realistic number. Yesterday, ConocoPhillips (COP -1.8%) said it plans to cut future deepwater exploration spending, particularly in its operated Gulf of Mexico program; in light of the decision, COP is terminating a contract for an Ensco (ESV -4.9%) deepwater drill ship. Also, UBS today downgraded National Oilwell Varco (NOV -1.5%) to Sell from Neutral.

SDRL -6.4%, RIG -4.7%, RDC -6%, DO -3.3%, ATW -4.2%, HP -1.2%, PTEN -1.2%, PACD -5.7%.  ",2015-07-17
92,Morgan Stanley calls a bottom in oil services,"
 The tide is finally starting to turn for global oil services stocks (NYSEARCA:OIH), Morgan Stanley says, now seeing a very favorable risk/reward balance for  investors and up to 60% upside in the space over the next 6-9 months with only ~10% downside risk. The firm says it begins to see signs that global oil production is getting under control, as U.S. rig counts appear to have stabilized well below the level necessary to sustain production and Brazil production was recently revised well below consensus expectations. Stanley's top pick in the group is Schlumberger (SLB +1.1%), and it also likes Core Labs (CLB +2.2%), Frank's International (FI +1.5%), Patterson-UTI (PTEN +2.7%), Nabors Industries (NBR +4%) and Helmerich &��Payne (HP +1.9%).  ",2015-07-9
93,"Offshore drillers rose sharply, as investors see bright side of Hercules news","
 
Half a loaf is better than no loaf at all, as investors pushed shares of offshore drilling contractors to strong gains in today's trade after Hercules Offshore (NASDAQ:HERO) said Saudi Aramco would keep three rigs working but at roughly half the previous dayrates. Cowen analysts offer a rather negative take, saying rate reductions were expected, but given the quality of its rigs and its difficult negotiating position, HERO received the harshest rate reductions among its peers; also while competitor contracts will revert to their original dayrates in early 2016, HERO���s rigs will be on the lowered rate through the end of 2016. Meanwhile, Atwood Oceanics (NYSE:ATW) received a month-long extension on one of its rigs, which prompts Susquehanna to boost its 2015 EPS outlook to $7.40 from $7.37 but maintain its Neutral rating and $32 stock price target.
In today's regular session: HERO��+6.1%, ATW +2.5%, RIG +3.7%, SDRL +4.2%, NE +4.7%, RDC +5.1%, DO +4.2%, ESV +4.5%, HP +2.5%, PKD-OLD +3.3%.  ",2015-06-2
94,"""Take a summer vacation"" on onshore oil service stocks, Citi says","
 It's time to ""take profits and... a summer vacation"" in onshore oil services stocks such as National Oilwell Varco (NOV -2.8%), Weatherford International (WFT -2.7%), Patterson-UTI��Energy (PTEN -3.7%) and RPC (RES -4%), Citigroup's Scott Gruber says. The onshore service stocks are discounting at least 400 horizontal rigs returning to service, yet quick-to-market tight oil means supply concerns likely will manifest as soon as the rig count begins to rally, the firm says. Citi downgrades NOV to Sell from Neutral given risk of backlog cancellations, continued EPS compression and valuation, and believes a recovery multiple is not warranted for the stock until backlog growth resumes; the firm also cuts RPC to Sell, reiterates its Sell rating on Helmerich &��Payne (HP -2%), and lowers WFT and PTEN to Neutral from Buy.  ",2015-05-11
95,"Buy the big three U.S. land drillers, UBS says","
 UBS says it's time to buy the big three names in land drilling - Helmerich &��Payne (HP -2.6%), Nabors Industries (NBR -4.2%) and Patterson-UTI��Energy (PTEN -2.6%) - as they take market share from the weaker companies while lower oil prices wash out the weaker hands. The firm also notes the group is not taking the public relations beating that some of the fracking giants are from the likes of David Einhorn. The three companies are taking it on the chin today, but they recently reported better than expected Q1 results on improved rig revenues, even as revenues typically fell due to reduced rig activity.  ",2015-05-7
96,Goldman Sachs sees upside in land drillers,"
 Land drilling activity cuts that began late last year are nearing an end with the bottom likely this quarter, Goldman Sachs says as it upgrades land drillers Patterson-UTI��Energy (NASDAQ:PTEN), Nabors Industries (NYSE:NBR) and Helmerich &��Payne (NYSE:HP) to Buy from Neutral. Goldman believes the sharp reduction in rig activity - with rig declines reaching 900-plus rigs on average in Q2 2015 v- has started the self-correcting mechanism in oil supply, and that oil production should flatten in Q2 and is unlikely to grow Y/Y by Q4; the firm now expects the U.S. land rig count to increase by ~430 rigs by year-end 2016, with the horizontal rig count increasing by nearly 300 rigs. 
Earlier: Helmerich &��Payne upgraded to Buy from Neutral at Goldman  ",2015-04-27
97,Helmerich & Payne upgraded to Buy from Neutral at Goldman,"
 Helmerich & Payne (HP +3.2%) is upgraded to Buy from Neutral with an $85 price target, raised from $51, at Goldman Sachs, which notes HP's high exposure to increased demand for high-spec U.S. land rigs in 2016. The firm foresees 1,500HP or larger rigs to see the sharpest increase in utilization, increasing from 62% currently to the mid-80% range by late 2016, and that HP will be the biggest beneficiary of the demand pick-up since it controls nearly 50% of such available rigs. Goldman also likes HP's pristine balance sheet, with estimates 2016 net debt/capital of less than 1% vs. a 20% average for land drilling peers, and projects HP to generate substantial free cash flow in 2016 which can be used for dividend increases or share buybacks.  ",2015-04-27
98,Helmerich & Payne EPS of $1.37,"

Helmerich & Payne (NYSE:HP): FQ2 EPS of $1.37 may not be comparable to consensus of $0.79.
Revenue of $883M (-1.2% Y/Y) beats by $118.49M.
 ",2015-04-23
99,Offshore drillers sink as Aramco secures lower Ensco rates,"
 Ensco (ESV -4.8%) reveals in its April fleet status report that it agreed to lower dayrates on seven of its jackups working for Saudi Aramco in the Middle East, with reductions ranging 10%-20% and an average decline of 15% across the seven rigs. Cowen analysts believe further rate negotiations are ongoing and could affect other operators with units contracted to Saudi Aramco, noting that Rowan (RDC -4.2%) may be the most exposed since it has nine rigs currently working with Aramco; RDC secured three-year contract extensions in Sept. 2014 on four of the jackups, which could see reductions, as well as four units currently under negotiation extensions. Other contractors with units working for Aramco are Noble Corp. (NE -4.9%) with four units, Hercules Offshore (HERO -3.9%) with two (after the termination of the Hercules 261), and Seadrill (SDRL -3.9%) with three.
Other offshore drilling contractors also are lower: RIG -3%, ATW -2.3%, DO -4.1%, HP -2.7%, ORIG -2.5%, PACD -4.2%.  ",2015-04-16
100,"Helmerich & Payne has greatest risk for negative revisions, Citi says","
 Sell-rated Helmerich &��Payne (NYSE:HP) has the greatest risk for negative revisions among its oilfield services peers, Citi analyst Scott Gruber writes, since earnings compression is happening faster at peers; 2016 estimates are above consensus for Patterson-UTI��Energy (NASDAQ:PTEN), RPC��(NYSE:RES) and Superior Energy (NYSE:SPN), partly reflecting improvement in pressure pumping margins given a lack of contract roll. Gruber also thinks consensus estimates are too optimistic, pricing in a full recovery in one year; the Street expects HP���s land business to generate $400M in sales in FY 2016, which Gruber estimates would require a spot dayrate of more than $30K/day or a rig count of ~270, which would be within 5% of the prior peak. HP currently trades at 1.7x 2016 consensus price to book value vs. 1.1x for PTEN, 1.1x for Precision Drilling (NYSE:PDS) and 0.9x for Nabors Industries (NYSE:NBR); Gruber says history suggests downside risk to 1x as HP's return on equity likely will fall to 3% in 2016.  ",2015-04-9
