,news_title,news_dates,news_details
291,"Tech stocks down as U.S., China reveal new tariffs","Apr. 4, 2018, 7:57 AM","
        Tech stocks are down premarket after the U.S. and China detailed plans to levy tariffs on imported products.               The U.S. proposed 25% tariffs on Chinese products worth about $50B, including semiconductors, lithium batteries, electronics components, and dishwashers.                China responded with a “same-scale” reciprocal proposal on 106 U.S. products including aircraft, autos, and soybeans.                Tech names pushing down: Nvidia (NASDAQ:NVDA) down 3.3%, AMD (NASDAQ:AMD) down 3.9%, Apple (NASDAQ:AAPL) down 2.1%, Skyworks (NASDAQ:SWKS) down 1.7%, Intel (NASDAQ:INTC) down 3.1%, Micron (NASDAQ:MU) down 3.1%, and Qualcomm (NASDAQ:QCOM) down 1.6%.  Previously: The White House hits China with fresh tariffs; China returns fire (April 4) "
292,BofAML estimates Apple can save $500M a year using its own PC chips,"Apr. 3, 2018, 3:35 PM","
        Bank of America Merrill Lynch estimates Apple (NASDAQ:AAPL) can save $500M each year by switching from Intel (NASDAQ:INTC) to in-house PC chips for even half its Macs.          Analyst Wamsi Mohan says the switch could lower the material cost of Macs by $40 to $50 each.               Firm reiterates a Buy rating on Apple with a $220 price target.                Apple shares are up 1.1% to $168.45.  Previously: Bloomberg: Apple will stop using Intel chips in Macs; INTC shares -8.7% (April 2)Previously: Stifel: Apple accounts for under 1% of Intel profits (April 2) "
293,Intel spins out Wind River unit to TPG,"Apr. 3, 2018, 2:22 PM","
        Intel (NASDAQ:INTC) will spin out its Wind River Systems embedded system software division to TPG for an undisclosed amount.                  Intel purchased Wind River Systems for $884M in 2009.                      Last year, Intel spun off half of its McAfee division to TPG at a $4.2B valuation.               Wind River expects the deal to close in Q2.   Intel shares are up 0.2%.   "
294,Stifel: Apple accounts for under 1% of Intel profits,"Apr. 2, 2018, 4:51 PM","
        Stifel reiterates its Buy rating on Intel (NASDAQ:INTC) following a Bloomberg report that Apple will stop using its processors in future Macs.               Analyst Kevin Cassidy estimates Apple only represented 4% of Intel revenue last year and under 1% of the profits.                Cassidy also notes that Apple held 7.3% of the traditional PC unit market in Q4, according to IDC data.                Price target reaffirmed at $53.                Intel shares closed today down 6.1% to $48.92 but are up 0.5% aftermarket.       Previously: Bloomberg: Apple will stop using Intel chips in Macs; INTC shares -8.7% (April 2)Previously: Chips, Apple suppliers drop on Intel news (April 2) "
295,Bloomberg: Apple will stop using Intel chips in Macs; INTC shares -8.7%,"Apr. 2, 2018, 2:16 PM","
        Bloomberg sources say Apple (NASDAQ:AAPL) plans to use its own chips in Macs starting as early as 2020.               Intel (NASDAQ:INTC) currently supplies the processors.                   The initiative is in the early development stages but goes along with the tech giant’s desire to make all of its devices more similar in function and easier to use together.                  Last year, shares of Imagination Technologies tanked after Apple said it would stop using its graphics chips within two years in favor of an in-house product. Imagination later sold to private equity firm Canyon Bridge.                Intel shares plunge 8.7%.                Apple shares drop 1.7%.                Previously: Former Apple supplier Imagination Technologies goes up for sale (June 22, 2017) "
296,Samsung invests $7B in Chinese NAND fab,"Mar. 28, 2018, 3:03 PM","
           Samsung (OTC:SSNNF, OTC:SSNLF) will invest $7B over three years to double its NAND flash memory production capacity in China.  A second line will be added to its Xi’an fab in inland Shaanxi province, which will bring monthly capacity to the equivalent of 220K 300mm silicon wafers by 2020.  Western Digital (WDC -1.8%) recently decided to invest $4.7B over three years into a NAND JV with Toshiba (OTCPK:TOSBF, OTCPK:TOSYY).  Other NAND leaders: Micron (MU -1.5%), Intel (INTC -3.5%), and SK Hynix (OTC:HXSCF, OTC:HXSCL).  Previously: NAR: Western Digital investing $4.68B in Toshiba JV (March 9) "
297,Mobileye boss critical of Uber's role in pedestrian fatality,"Mar. 26, 2018, 3:38 PM","
The CEO of Mobileye, Intel’s (NASDAQ:INTC) vision system company, says its tech would have detected the pedestrian fatally struck by an Uber (UBER) self-driving vehicle.In a blog post, Amnon Shashua was critical of “new entrants” into the self-driving space lacking the years of development experience necessary for safety.Intel acquired Mobileye last year for $15.3B.Intel shares are up 6.1% to $52.36.Previously: Intel +2.3% on analyst upgrade (March 26)Update with more info:                   Mobileye took the dashboard camera video from the Uber accident that police released last week and ran the video through its own advanced driver assistance system (ADAS).               Even with the low-quality video, Mobileye ADAS detected the pedestrian, Elaine Herzberg, and her bike about “one second before impact.”        "
298,Intel +2.3% on analyst upgrade,"Mar. 26, 2018, 7:59 AM","
        Raymond James upgrades Intel (NASDAQ:INTC) from Underperform to Market Perform.               Source: Briefing.com.                Latest analyst recommendations: 11 Buy, 15 Outperform, 11 Hold, 3 Underperform, and 1 Sell.                Median price target: $55.                  Intel shares are up 2.3% premarket to $50.48.     "
299,China talks tough on trade war,"Mar. 25, 2018, 9:27 AM","
The U.S. has flouted trade rules with an inquiry into intellectual property and China will defend its interests, Vice Premier Liu He told U.S. Treasury Secretary Steven Mnuchin in a telephone call.Apple (NASDAQ:AAPL), Boeing (NYSE:BA) and Intel (NASDAQ:INTC) rake in huge revenues from China each year and will see their global interests damaged in a trade war, according to a the front page of the Saturday overseas edition of the People’s Daily, the official mouthpiece of the Chinese Communist Party.ETFs: FXI, KWEB, ASHR, YINN, CAF, EWH, CQQQ, YANG, MCHI, GXC, FXP, PGJ, CN, KBA, TAO, CHIQ, HAO, CHIX, TDF, QQQC-OLD, PEK, CHN, CWEB, CXSE, CHAU, XPP, CNXT, ASHS, AFTY, CHAD, FCA, YAO, YXI, GCH, ECNS, CHIM, CHII, CHIE, KFYP, EWHS, JFC, FCHI, OBOR, ASHX, CNYA, FHK, HAHA, XINA, CNHX, KGRN, FLCH, FLHK, WCHN "
300,U.S. safety agencies probe first self-driving death,"Mar. 20, 2018, 4:09 AM","
The self-driving car industry is facing its first critical test after the death of a woman by an UBER autonomous vehicle in Arizona.The pedestrian was walking her bicycle outside a crosswalk when she was struck by the Volvo XC90 SUV, which had an operator behind the wheel.Uber is suspending the program while the NHTSA and NTSB investigate the accident, which is shaping up as the first significant test of how policymakers and the public respond to the new technology.Related tickers: GM, F, TM, OTCPK:NSANY, HMC, OTCPK:BMWYY, OTCPK:DDAIF, TSLA, FCAU, ALV, INTC, NXPI, STM, GOOG, GOOGL, LYFT, WBC, OTCPK:AUDVF, VLKAY, OTC:SSNLF BIDU, NVDA, OTCPK:GELYY, CAR, HTZ. "
301,"Intel elects new board member, recommends chairman's extension","Mar. 19, 2018, 9:58 AM","
        Intel (NASDAQ:INTC) elects former Robert Wood Johnson foundation CEO Risa Lavizzo-Mourey to the board of directors.               Lavizzo-Mourey becomes the fifth new independent director who has joined the board since early 2016.                   Board also unanimously voted to extend Andy Bryant’s term as chairman, which began in 2012. The re-election still has to go up for a shareholder vote at the annual meeting.                  Intel shares are down 0.4% to $50.98.   "
302,"Baird raises Micron to 70% upside, provides DRAM and NAND guidance","Mar. 16, 2018, 9:57 AM","
        Baird maintains an Outperform rating and raises its Micron (NASDAQ:MU) price target from $60 to $100, a 70% upside to yesterday’s close.               Analyst Tristan Gerra cites stronger-than-expected memory trends with DRAM contract pricing experiencing a “significant increase” in 1H18. NAND flash price reductions expected more muted in the first half than previously expected.                Gerra expects NAND contract pricing to decline 3% to 4% Q/Q in Q1 of CY18, by higher single-digits in Q2, and by 15% to 20% in CY18. Micron shares are up 1.3% to $59.62.                  DRAM peers: Samsung (OTC:SSNNF, OTC:SSNLF) andSK Hynix (OTC:HXSCF, OTC:HXSCL).                      NAND peers: Samsung, SK Hynix, Toshiba (OTCPK:TOSBF, OTCPK:TOSYY) SanDisk/ Western Digital (WDC +2.4%), and Intel (INTC +1.1%).   "
303,Intel CEO bucks Broadcom rumors,"Mar. 16, 2018, 4:15 AM","
With reports surfacing about a possible buyout of Broadcom (NASDAQ:AVGO) following its failed bid for Qualcomm (NASDAQ:QCOM), Intel (NASDAQ:INTC) CEO Brian Krzanich disclosed that it's not in the company's immediate interests.""I can't speak about rumors, but I can tell you we've made two big acquisitions with Altera and Mobileye,"" he told Mad Money. ""We're heads down on making those successful and right and they're our growth engines for the future.""Previously: FT: Former Qualcomm chairman seeks funding for leveraged buyout (Mar. 15 2018) "
304,Intel's new processors come with a Spectre fix,"Mar. 15, 2018, 3:35 PM","
        Intel (NASDAQ:INTC) says the upcoming Cascade Lake Xeon processors will include “redesigned parts of the processor to introduce new levels of protection through partitioning” to protect against variants of the Spectre chip flaw.          The portioning will also appear in the 8th gen Intel Core processors.               Both of the new processors will ship in 2H18.                Don’t want to upgrade your Intel CPU? Keep up with the firmware updates (now available for 100% of products launched within the past five years) for Spectre protection.                Intel shares are down 1.6% to $51.  Previously: Intel declares $0.30 dividend (March 15) "
305,Intel declares $0.30 dividend,"Mar. 15, 2018, 9:02 AM","
Intel (NASDAQ:INTC) declares $0.30/share quarterly dividend, in line with previous.Forward yield 2.31%Payable June 1; for shareholders of record May 7; ex-div May 4. "
306,CNET: Researchers find 13 vulnerabilities in AMD chips,"Mar. 13, 2018, 10:53 AM","
        CNET reports that security researchers have found 13 vulnerabilities in AMD’s (NASDAQ:AMD) Ryzen and EPYC chips.               The flaws, reminiscent of the Spectre and Meltdown flaws that primarily impacted Intel (NASDAQ:INTC) chips, allow attackers to install malware in the guarded portions of the processor.                Researchers from Israel’s CTS-Labs found the problems and gave AMD under 24 hours to respond before publishing the report. Researchers usually give 90 das notice for a company to have time to address the flaw.                Comment from AMD spokesman to CNET: “At AMD, security is a top priority and we are continually working to ensure the safety of our users as new risks arise. We are investigating this report, which we just received, to understand the methodology and merit of the findings.”                   AMD shares are down 1.2% to $11.38.                   Intel shares are up 2.9% to $53.02.    Previously: Tech giants scurry to patch chip flaws; Intel -2.6% (Jan. 4) "
307,Mizuho raises Micron target to 11% upside,"Mar. 13, 2018, 7:46 AM","
        Mizuho maintains a Buy rating and raises its Micron Technology (NASDAQ:MU) price target from $55 to $66, an 11% upside to yesterday’s close.        Firm cites Asian checks that point to continued DRAM and NAND demand and price momentum into the June quarter.               Mizuho thinks Micron’s near-term estimates are conservative with a potential for about $3 EPS in the quarter as the company moves out of the seasonally weak part of the year.                Micron will report Q2 results on March 22                   Micron shares are up 4.2% premarket to $61.89.                   DRAM / NAND players that could move with Micron: Samsung (OTC:SSNNF, OTC:SSNLF), SK Hynix (OTC:HXSCF, OTC:HXSCL), Toshiba Toshiba (OTCPK:TOSBF, OTCPK:TOSYY), Western Digital (NYSE:WDC), and Intel (NASDAQ:INTC).     Previously: Nomura raises Micron target to new Street high; shares +3.1% (March 12) "
308,Trump issues order to block Broadcom takeover of Qualcomm,"Mar. 12, 2018, 6:32 PM","
 President Trump has issued an order to block Broadcom's (NASDAQ:AVGO) hostile takeover of Qualcomm (NASDAQ:QCOM). Shares of Broadcom are flat after hours; QCOM is down 1% in postmarket trade. It's a permanent block -- any merger or takeover attempt ""substantially equivalent"" to the proposed deal is also prohibited, according to the order, which CFIUS issued and the president signed. ""There is credible evidence that leads me to believe that Broadcom ... through exercising control of Qualcomm ... might take action that threatens to impair the national security of the United States,"" the order reads. In addition to blocking any equivalent merger attempt, it says ""all 15 individuals listed as potential candidates on the Form of Blue Proxy Card filed by Broadcom ... are hereby disqualified from standing for election as directors of Qualcomm. Qualcomm is prohibited from accepting the nomination of or votes for any of the Candidates."" Updated 6:44 p.m.: QCOM is down 3.7% after hours; AVGO down 3%. NXP Semiconductors (NASDAQ:NXPI) is flat. Updated 6:50 p.m.: Intel (NASDAQ:INTC), which reportedly considered a defensive bid for Broadcom as the Broadcom-Qualcomm deal was bad for its business, is up 1.2% after hours.  "
309,Nomura raises Micron target to new Street high; shares +3.1%,"Mar. 12, 2018, 7:59 AM","
        Nomura raises its Micron (NASDAQ:MU) price target from $55 to $100, a new Street high and an 83% upside to Friday’s close.               Firm says Micron shares are on the cusp of another breakout.                Potential catalysts: DRAM pricing resuming its climb in Q2, dividend and share buyback announcements in May, NAND margin expansion, and increased M&A discussion.                  More action: Evercore ISI raises its Micron target from $60 to $80, a 47% upside.                Source: Notable Calls.                   Micron shares are up 3.1% premarket to $56.27.                   Peers that could move on the DRAM / NAND comments: Samsung (OTC:SSNNF, OTC:SSNLF), Toshiba (OTCPK:TOSBF, OTCPK:TOSYY), Western Digital (NYSE:WDC), and Intel (NASDAQ:INTC).                  "
310,Reuters: CFIUS demands notice on Broadcom move to redomicile,"Mar. 9, 2018, 7:07 PM","
 The Committee on Foreign Investment in the United States has ordered Broadcom (NASDAQ:AVGO) to give it five business days' notice before taking any action on redomiciling to the U.S., Reuters reports -- an indication that CFIUS is aware of jurisdictional challenges that could arise if the move happens. Broadcom said today that it expected to complete its move from Singapore to the U.S. by May 6, and said it petitioned a Singapore court today to order a special shareholder meeting to approve the move. That meeting's set for March 23. CFIUS already ordered Qualcomm (NASDAQ:QCOM) to postpone its shareholder meeting so it could more fully investigate security implications of Broadcom's hostile bid for Qualcomm. As for CFIUS terms, ""We are aware of the terms in the order and are in full compliance,"" Broadcom tells Reuters. After a splash report earlier that Intel could respond to a Broadcom-Qualcomm deal by buying Broadcom itself, AVGO is currently up 3.7% after hours; QCOM -0.7%; INTC -0.6%.  "
311,WSJ: Intel considers deals including Broadcom acquisition; AVGO +6% (updated),"Mar. 9, 2018, 5:32 PM","
 Facing some ripples from Broadcom's (NASDAQ:AVGO) hostile bid for Qualcomm (NASDAQ:QCOM), Intel (NASDAQ:INTC) is examining a number of acquisition alternatives, the WSJ reports -- including a bid for Broadcom itself. Broadcom shares have surged postmarket, up 6%; Intel is down 0.3% and QCOM is down 0.8%. Intel would love for Broadcom's pursuit to fail, but if the odds start looking better that it would face a stronger competitor, Intel could step in with its own bid. It's working with advisers, according to the report, though a bid for $104B Broadcom is far from guaranteed. Previously: Qualcomm's former CEO out as board chair (Mar. 09 2018) Previously: Broadcom sends letter to US Congress, denies national security concerns (Mar. 09 2018) Updated 6:33 p.m.: Intel comments to Reuters: It doesn't comment on ""rumors or speculation"" but says it's focused on previous acquisitions. “We have made important acquisitions over the past 30 months -- including Mobileye and Altera -- and our focus is on integrating those acquisitions and making them successful for our customers and shareholders.”  "
312,NAR: Intel will provide NAND chips to Chinese partner,"Mar. 1, 2018, 12:18 PM","
        Intel (NASDAQ:INTC) will expand its partnership with Tsinghua Unigroup by providing NAND flash memory chips, according to Nikkei Asian Review.               Tsinghua’s UNIC Memory Technology arm would use the chips to crate microSD cards and solid-state disks. The supplies could help push UNIC, which registered last summer, to becoming a major market player alongside Samsung, Toshiba, and Western Digital’s SanDisk.         The move could help Intel gain better access to the Chinese market. Intel ranks sixth globally among NAND memory chip manufacturers.                            Intel invested $1.5B for a 20% stake in Tsinghua’s holding company back in 2014.               Intel shares are down 0.5% to $49.04.   "
313,"Citi calls Intel a ""top pick"" with 18% upside","Feb. 27, 2018, 9:29 AM","
        Citi reiterates its Buy rating on Intel (NASDAQ:INTC) and calls the chipmaker a “top pick” on expectations that the company will beat profit expectations this year.               Analyst Christopher Danely writes, “We believe Intel is the only semiconductor stock with both poor sentiment and substantial upside to Consensus estimates. As a result, we are moving Intel from #3 to #1 in our company rankings.”                Danely forecasts 2018 EPS of $3.57 (consensus: $3.55) and puts Q1 EPS 10% higher than the consensus of $0.71.                   Price target reiterated at $58, an 18% upside to yesterday’s close.                      Intel shares are up 0.2% premarket.      "
314,California takes humans out of driverless cars,"Feb. 27, 2018, 3:52 AM","
A long awaited win for Silicon Valley lobbyists. California has approved new rules that don't require human operators to sit behind the wheel of driverless cars, with the state's DMV issuing such permits from April 2.As the technology is developed the vehicles will still require constant supervision from ""remote"" drivers, or technicians who monitor car functions from a remote location.Related tickers: GM, F, TM, OTCPK:NSANY, HMC, OTCPK:BMWYY, OTCPK:DDAIF, TSLA, FCAU, ALV, INTC, NXPI, STM, GOOG, GOOGL, UBER, LYFT, WBC, OTCPK:AUDVF, VLKAY, OTC:SSNLF BIDU, NVDA, OTCPK:GELYY, CAR, HTZ. "
315,Nomura ups Intel to 26% upside,"Feb. 26, 2018, 7:37 AM","
        Nomura reiterates Intel (NASDAQ:INTC) with a Buy rating and raises the price target by $10 to $60.                The new target represents a nearly 26% upside to Friday’s close.                Source: Briefing.com.                Intel shares are up 0.8% premarket to $48.10 with a 52-week range of $33.23 to $50.85.   "
316,5G news at Mobile World Congress,"Feb. 26, 2018, 5:31 AM","
There's a lot of 5G news at the Mobile World Congress.Airbus (OTCPK:EADSY), Delta (NYSE:DAL), Sprint (NYSE:S) and others have formed the ""Seamless Air Alliance"" to develop in-flight 5G services through satellite technology.Nokia (NYSE:NOK) is deploying network solutions for Vodafone Italy's (NASDAQ:VOD) 5G trial in Milan and Huawei unveiled its first 5G chip - called the Balong 5G01 - in a challenge to Qualcomm (NASDAQ:QCOM) and Intel (NASDAQ:INTC).Previously: Samsung launches the Galaxy S9 (Feb. 26 2018)Previously: MWC kicks off in Barcelona (Feb. 26 2018) "
317,Race to 5G gets started with small rollouts,"Feb. 24, 2018, 2:00 PM","
 Wireless companies are racing to get commercial 5G service out to customers before the calendar hits 2019, which likely means the first rollout won't quite resemble the eventual visions. Standards are still being written, but carriers are working to be the first to implement service using one element of those standards. Most work is coming after December's wrap-up of key elements of 5G new radio standards from 3GPP, the international standards body. Most launches will revolve around fixed wireless service that beams Internet into homes through the air rather than via cable, whereas what comes at first will be a far cry from what will be possible in a few years. The technology will call for millions of new antennas yet to be installed. AT&T (NYSE:T) meanwhile has pledged mobile 5G service coming in 2018 to a dozen cities, including Atlanta, Dallas and Waco, Texas. Verizon (NYSE:VZ) is looking at a residential 5G launch in 3-5 markets in the second half, starting with Sacramento, Calif. Sprint (NYSE:S) is looking toward 2019 for its 5G network. And T-Mobile (NASDAQ:TMUS) says it will ""beat the duopoly"" to ""real"" mobile 5G. Korea's KT tested a version of its tech at the Winter Olympics; and Finland's Elisa is testing fixed wireless, and Telus (NYSE:TU) expects to have wireless broadband in homes as soon as this year. Hardware players: NOK, ERIC, INTC, AVGO, QCOM, OTC:SSNLF. We'll hear a lot more in the coming week's Mobile World Congress.  "
318,Venture capital deals of the week,"Feb. 24, 2018, 11:16 AM","
 Transit app: Intel (NASDAQ:INTC) Capital led and BMW (OTCPK:BMWYY) iVentures contributed to a $50M Series D funding round in transit app provider Moovit App Global. The round brought total fundraising up to $133M.  Other contributors: Sequoia, NGP, Sound Ventures, BRM, Gemini, Vaizra, Vintage, and Hanaco.         Intel SVP (and Mobileye CEO and CTO) Amnon Shashua will join Moovit’s board as an observer.               Moovit’s free app provides comprehensive transit info to more than 120m users in over 2K cities in 80 countries. The company offers repository of its transit data through the Smart Transit Suite, where transit operators and local governments can manage networks.                Moovit will use the funding to expand its global sales force and invest in its Mobility as a Service platform.                Competitors: Citymapper ($50M in total funding, Benchmark among backers), Transit ($9.1M in funding, Accel Partners backing), and Google (GOOG, GOOGL) Maps, which acquired the Urban Engines team in 2016.  Enterprise social network: Microsoft (NASDAQ:MSFT) Ventures, Cisco (NASDAQ:CSCO) Investments, and Time Warner (NYSE:TWX) contributed to a $36.5M round in employee communication and engagement platform company Dynamic Signal. Total funding now lands around $70M. Other contributors: Adams Street Partners, Trinity Ventures, and Venrock.          Dynamic Signal’s platform lets enterprises communicate with employees through messages, videos, and surveys. Employees can comment, “Like”, or share the content through other social networks. The company also makes a newsletter tool and the standalone marketing and HR app DySi Open.               The startup will use the funds to expand platform functionality, deepen third-party integrations, and to pursue an “aggressive” hiring spree that should double its headcount this year.                Competition: Everything from email to Facebook Groups. But Dynamic Signal diversifies by integrating with software including Microsoft’s SharePoint, Salesforce, Adobe, Oracle, Slack, and Facebook.  AI-backed cybersecurity: Wipro (NYSE:WIT) Ventures participated in a $36M Series D funding round in cybersecurity startup Vectra, which brought total funding up to $123M. The valuation was $344M before this round, according to PitchBook. Other participants: Atlantic Bridge Capital (led), Ireland’s Strategic Investment und, Accel Partners, Khosla Ventures, and AME Cloud Ventures.                 Vectra uses AI to minimize the length of a breach that happens despite other security measures. Vectra says its customer subscription numbers grew 181% from 2016 to 2017. Large enterprise customers include LiveNation, Tribune Media, and Verifone.                Vectra CEO Hitesh Sheth calls the round the “path to profitability” as the company considers an IPO in the future. For now, Vectra will build an R&D center in Dublin.             Competitor: Darktrace ($179.5M in funding, SoftBank (OTCPK:SFTBF, OTCPK:SFTBY) and KKR among backers), Cisco’s intrusion detection, and RiskIQ ($65.5M in funding, Battery Ventures backing), to name a few.   Debit card for kids: Amazon (NASDAQ:AMZN) Alexa Fund and SunTrust (NYSE:STI) participated in a $16M Series A round in Greenlight Financial Technology, which creates a smart debit card for kids, teens, and college students. The round brings total funding up to $23.5M. Other participants: TTV Capital (led), New Enterprise Associates, Ally Financial, Relay Ventures, NBKC Bank, and Canapi.  Greenlight cards are free for 30 days and then $4.99/month per family for up to five children.  Competitors: Visa (NYSE:V) Buxx Card for teens, Capital One (NYSE:COF) MONEY for teens, and Current ($8.6M in funding).  Cyber defense: Orange (NYSE:ORAN) Digital Ventures, GE (NYSE:GE), and Deutsche Telekom (OTCQX:DTEGF, OTCQX:DTEGY) contributed to a $12M Series B round in Moving Target Defense provider Morphisec. The round brought total funding up to $19M. Other participants: La Maison, Portage Partners, OurCrowd, Kodem Growth Partners, and Evolution Equity Partners.  Morphisec produces an Endpoint Threat Prevention Product with patented Moving Target Defense tech. The tech can prevent threats including APTs, ransomware, zero-days, fileless attacks, and web-borne exploits.  Competition: Cylance ($177M in funding, Capital One among backers), Bromium ($115.8M in funding, Intel among backers), and SentinelOne ($109.5M in total funding, Third Point Ventures backing.)     Previously: The Information: Amazon offered $100M for August before releasing Key (Feb. 20)Previously: Amazon roundup: New accelerator, over double Walmart's size, Luxoft collab (Feb. 21) "
319,Intel didn't tell U.S. gov. about flaws until news went public,"Feb. 22, 2018, 3:41 PM","
        Intel (INTC) didn’t inform U.S. officials about the Meltdown and Spectre chip flaws until the flaws leaked publicly.               Alphabet (GOOGL -0.3%) had notified Intel about the flaws six months earlier.                  The timeline details came out in letters that Intel, Alphabet, and Apple sent to Rep. Greg Walden in response to his questions.                Alphabet says it informed Intel, AMD (AMD +0.9%), and SoftBank’s ARM about the problems last June and gave the companies 90 days to fix the problem before publicly disclosing the flaws. Alphabet left the decision to inform the government in the hands of the chipmakers.                Intel says it didn’t inform the government’s cyber security officials because there wasn’t any evidence of hacking.    Previously: SEC releases new guidelines for cybersecurity risk disclosures (Feb. 21) "
320,Intel collaborates with PC makers for 5G connection,"Feb. 22, 2018, 10:08 AM","
           Intel (NASDAQ:INTC) wants to bring 5G cellular connections to laptops through collaborations with Microsoft (NASDAQ:MSFT), Dell (DVMT), HP (NYSE:HPQ), and Lenovo (OTCPK:LNVGF, OTCPK:LNVGY).  The PCs with built-in 5G will use Intel modems and will be available by “holiday 2019.”            The modems will also support 2G, 3G, and LTE.            AT&T and Verizon will start rolling out 5G networks by the end of this year, and T-Mobile will start next year.               Qualcomm (NASDAQ:QCOM) is working on 5G modems for phones for next year and has 18 phone companies as collaborators. The collaborator list includes Nokia, Sony, and Xiaomi but lacks Apple, Huawei, and Samsung.                  Intel shares are up 1%.          "
321,SEC releases new guidelines for cybersecurity risk disclosures,"Feb. 21, 2018, 2:45 PM","
The SEC publishes updated guidance on public company disclosures of cybersecurity risks and breaches.Companies should disclose risks that haven’t yet been targeted by hackers.Company executives can’t trade securities when holding nonpublic information regarding an attack.The guidelines follow several notable risks and breaches with varying degrees of disclosures.Uber (UBER) paid off a hacker and failed to disclose a massive data breach promptly. Intel (NASDAQ:INTC) was criticized for lack of transparency related to its Spectre and Meltdown chip flaws.And Equifax (NYSE:EFX) waited months to announce its breach, failed to reveal the depth of the attack, and raised questions when execs dumped shares before the hack was disclosed.Cybersecurity ETFs: HACK, CIBR, HAKK.Previously: Equifax hack likely worse than disclosed - WSJ; shares fall more than 2% (Feb. 9)Previously: AMD +6.7% on Intel chip flaw report (Jan. 3)Previously: Uber reveals 57M-account breach and attempted cover-up (Nov. 21, 2017) "
322,Intel planning $5B Israel expansion,"Feb. 21, 2018, 7:38 AM","
        Intel (NASDAQ:INTC) plans a $5B production expansion at its Kiryat Gat plant in Israel over the next three years, according to Israeli Economy Minister Eli Cohen.               Intel shares are up 0.4% premarket to $46.50 with a 52-week range of $33.23 to $50.85.   "
323,Venture capital deals of the week,"Feb. 17, 2018, 11:28 AM","
 Placenta stem cells: Celgene (NASDAQ:CELG) led a $250M venture round in its spinout Calularity, a biotech startup mining placenta cells for stem cell treatments. The round brought total fundraising up to $290M.         Other investors in the round included United Therapeutics (NASDAQ:UTHR), Sorrento Therapeutics (NASDAQ:SRNE), and Human Longevity (HLONG). The startup’s board members include GV founder Bill Maris and former FDA commissioner Andrew Von Eschenbach.         Celularity’s products include wound-treating biological repair products, immunotherapy boosters, and the placental cell therapy products. The company claims “some 800 issued patents” in placental stem cells.         Competition: Americord banks placental tissue and Pluristem Therapeutics (NASDAQ:PSTI) sells placental cell-derived products.  Grocery gains: Amazon (NASDAQ:AMZN) competitor Instacart raised $200M in Series E financing. Coatue Management led the round with Glade Brook Capital Partners and existing investors. The round brought Instacart’s valuation up to $4.2B and total fundraising to $874.8M.         Instacart has nearly 200 grocery partners and is available in 70M households in the United States and Canada. The company will use the funds to build software, shopper support teams, and grow sales.         Other competitors: Shipt, which Target (NYSE:TGT) acquired in December for $550M, and Postmates ($278M in total funding).  Gaming spin: Tencent (OTCPK:TCEHY, OTCPK:TCTZF) was among the investors in a $130M pre-IPO round in Korean messaging company Kakao’s standalone games unit.        Other investors in Kakao Games included Netmarble Games (also backed by Tencent), Actozsoft, Bluehole Studio (producer of PlayerUnknown’s “Battlegrounds”), and Premier Growth.         Kakao spun out the games unit last year and plans to list the unit this year. The parent company will operate as a holding firm that oversees the gaming unit and the numerous other units that include a taxi company and mobile payment system.  Payment processor: MasterCard (NYSE:MA) was among the investors in a $71M Series C funding for marketplace business payment service YapStone. The Series C round will ultimately total $200M with the current contribution bringing YapStone’s valuation to around $500M. Total fundraising totals $187M.         Premji Invest led the round with participation from previous investors Accel and Meritech Capital Partners.          YapStone currently processes over $18B in annual payments. The startup also offers accounting, bookkeeping, and data services for its enterprise customers.         Competitors: PayPal (NASDAQ:PYPL), which processed $451B in payments last year, and Stripe (STRIP) are the major players in the space.  India car rental: Ford (NYSE:F) was among the returning investors in a $40M Series C round in Indian on-demand car rental company Zoomcar. Mahindra & Mahindra (OTCPK:MAHDY) led the round and has a 16% stake in the startup.                   The round brings Zoomcar’s valuation up to around $170M and total fundraising to $102.2M.         Zoomcar has a presence in 29 cites and has 2.7M registered users and 3.5K cars.         Competitors: Everyone from Avis (NASDAQ:CAR), which has a regional presence, to Carzonrent and Myles.  Customer support software: GV (GOOG, GOOGL) led a $25M Series B round in customer support software startup UJET. Other participants included Citi Ventures, Kleiner Perkins, and DCM Ventures. The round brings total fundraising to over $45M.         UJET software connects customers to support agents through a phone or web app or by phone. The startup will use the new funds to scale its business, open a NY office in March, and an EU headquarters in Q2.         Competitors: Intercom ($115.8M in funding, Social Capital backing) and Helpshift, which has $38.5M in funding with Intel (NASDAQ:INTC), Microsoft (NASDAQ:MSFT), and Salesforce (NYSE:CRM) backing. Previously: Apple updating software upgrade schedule; eMagin +24% on Apple investment (Feb. 12) "
324,32 lawsuits filed against Intel over chip flaws,"Feb. 16, 2018, 10:14 AM","
        Intel (NASDAQ:INTC) says 32 class action lawsuits have been filed against the company relating to the recent Meltdown and Spectre chip flaws.               The lawsuits accuse Intel of harming users through “actions and/or omissions.”                Intel isn’t able to estimate potential losses that could arise from the lawsuits.                Intel shares are up 0.6%.   "
